xdid	similar_grid_pct	reused_clues	reused_answers	total_clues	matches
atc2001-08-08	0	46	75	78	
atc2001-08-09	0	48	76	78	
atc2001-08-10	0	49	75	78	
atc2001-08-11	0	46	75	78	
atc2001-08-12	0	50	76	78	
atc2001-08-13	0	52	77	78	
atc2001-08-14	0	47	75	76	
atc2001-08-15	0	43	77	78	
atc2001-08-16	0	38	73	74	
atc2001-08-17	0	43	74	76	
atc2001-08-18	0	50	76	78	
atc2001-08-19	0	39	73	74	
atc2001-08-20	100	72	78	78	atc1998-05-05=100
atc2001-08-21	0	48	75	76	
atc2001-08-22	0	49	73	74	
atc2001-08-23	0	51	76	78	
atc2001-08-24	0	39	69	72	
atc2001-08-25	0	48	78	78	
atc2001-08-26	0	43	69	74	
atc2001-08-27	0	52	76	78	
atc2001-08-28	0	42	71	74	
atc2001-08-29	0	40	76	78	
atc2001-08-30	0	53	76	78	
atc2001-08-31	0	44	73	76	
atc2001-09-01	0	53	78	78	
atc2001-09-02	0	45	74	74	
atc2001-09-03	0	55	75	78	
atc2001-09-04	0	53	78	78	
atc2001-09-05	25	33	72	72	lat1997-01-23=25
atc2001-09-06	0	53	77	78	
atc2001-09-07	0	48	72	76	
atc2001-09-08	0	40	75	78	
atc2001-09-09	0	36	74	76	
atc2001-09-10	0	48	74	76	
atc2001-09-11	0	45	71	74	
atc2001-09-12	0	53	77	78	
atc2001-09-13	0	44	73	78	
atc2001-09-14	0	47	77	78	
atc2001-09-15	0	39	73	76	
atc2001-09-16	0	50	76	78	
atc2001-09-17	0	51	77	78	
atc2001-09-18	0	50	77	78	
atc2001-09-19	0	44	78	78	
atc2001-09-20	0	43	74	78	
atc2001-09-21	0	45	78	78	
atc2001-09-22	0	41	74	78	
atc2001-09-23	0	53	76	78	
atc2001-09-24	0	56	78	78	
atc2001-09-25	0	45	75	78	
atc2001-09-26	0	39	76	78	
atc2001-09-27	0	29	73	78	
atc2001-09-28	0	50	77	78	
atc2001-09-29	0	51	70	76	
atc2001-09-30	0	34	72	76	
atc2001-10-01	0	45	77	78	
atc2001-10-02	0	52	76	78	
atc2001-10-03	0	38	71	76	
atc2001-10-04	0	58	73	76	
atc2001-10-05	0	48	78	78	
atc2001-10-06	0	39	71	76	
atc2001-10-07	0	41	72	76	
atc2001-10-08	0	50	75	78	
atc2001-10-09	0	52	75	78	
atc2001-10-10	0	46	77	78	
atc2001-10-11	0	33	75	76	
atc2001-10-12	0	34	75	78	
atc2001-10-13	0	49	70	76	
atc2001-10-14	0	50	71	76	
atc2001-10-15	0	48	77	78	
atc2001-10-16	0	50	75	78	
atc2001-10-17	0	47	74	76	
atc2001-10-18	100	76	78	78	atc1998-08-05=100
atc2001-10-19	0	48	75	78	
atc2001-10-20	0	52	76	76	
atc2001-10-21	0	42	73	78	
atc2001-10-22	0	39	73	76	
atc2001-10-23	0	45	78	78	
atc2001-10-24	0	37	76	78	
atc2001-10-25	0	44	76	78	
atc2001-10-26	0	47	76	78	
atc2001-10-27	0	41	70	76	
atc2001-10-28	0	44	73	78	
atc2001-10-29	0	34	75	76	
atc2001-10-30	0	49	77	78	
atc2001-10-31	0	31	72	74	
atc2001-11-01	0	53	77	78	
atc2001-11-02	0	48	76	78	
atc2001-11-03	0	41	76	76	
atc2001-11-04	100	62	74	74	atc1998-05-09=100
atc2001-11-05	0	45	77	78	
atc2001-11-06	100	77	78	78	atc1999-07-05=100
atc2001-11-07	0	55	78	78	
atc2001-11-08	0	41	78	78	
atc2001-11-09	0	44	74	76	
atc2001-11-10	0	47	75	78	
atc2001-11-11	0	41	73	78	
atc2001-11-12	0	52	78	78	
atc2001-11-13	0	41	78	78	
atc2001-11-14	0	58	76	78	
atc2001-11-15	0	49	77	78	
atc2001-11-16	0	41	72	74	
atc2001-11-17	0	53	74	76	
atc2001-11-18	0	36	67	72	
atc2001-11-19	0	48	75	78	
atc2001-11-20	0	34	77	78	
atc2001-11-21	0	45	75	78	
atc2001-11-22	0	44	76	78	
atc2001-11-23	0	48	76	78	
atc2001-11-24	0	34	75	76	
atc2001-11-25	0	53	75	78	
atc2001-11-26	0	46	76	78	
atc2001-11-27	0	44	76	78	
atc2001-11-28	0	41	77	78	
atc2001-11-29	0	43	78	78	
atc2001-11-30	0	37	71	74	
atc2001-12-01	0	45	73	76	
atc2001-12-02	0	47	75	78	
atc2001-12-03	0	47	76	78	
atc2001-12-04	0	43	73	76	
atc2001-12-05	0	39	76	78	
atc2001-12-06	0	43	77	78	
atc2001-12-07	0	44	76	78	
atc2001-12-08	0	45	69	74	
atc2001-12-09	60	59	78	78	ch1995-06-01=30 nyt1993-07-28=30
atc2001-12-10	0	48	74	78	
atc2001-12-11	0	40	75	76	
atc2001-12-12	0	42	74	74	
atc2001-12-13	0	40	76	78	
atc2001-12-14	0	37	71	74	
atc2001-12-15	0	39	76	78	
atc2001-12-16	0	40	73	74	
atc2001-12-17	0	47	75	78	
atc2001-12-18	0	48	77	78	
atc2001-12-19	26	50	77	78	ch1999-11-03=26
atc2001-12-20	0	48	73	76	
atc2001-12-21	0	48	76	78	
atc2001-12-22	28	36	69	70	usa1996-12-12=28
atc2001-12-23	0	35	75	76	
atc2001-12-24	0	39	73	76	
atc2001-12-25	0	48	78	78	
atc2001-12-26	0	38	72	76	
atc2001-12-27	0	52	71	76	
atc2001-12-28	0	41	77	78	
atc2001-12-29	0	44	76	76	
atc2001-12-30	0	37	71	74	
atc2001-12-31	0	43	77	78	
atc2002-01-01	0	41	72	76	
atc2002-01-02	0	38	75	76	
atc2002-01-03	0	42	76	78	
atc2002-01-04	0	50	73	76	
atc2002-01-05	0	48	77	78	
atc2002-01-06	0	36	68	74	
atc2002-01-07	0	46	77	78	
atc2002-01-08	0	47	72	74	
atc2002-01-09	0	53	78	78	
atc2002-01-10	0	39	76	76	
atc2002-01-11	0	39	75	76	
atc2002-01-12	0	35	73	76	
atc2002-01-13	0	38	74	74	
atc2002-01-14	0	38	76	78	
atc2002-01-15	0	52	76	78	
atc2002-01-16	0	42	78	78	
atc2002-01-17	30	49	77	78	usa2000-10-25=30
atc2002-01-18	0	36	73	76	
atc2002-01-19	0	36	71	72	
atc2002-01-20	0	44	77	78	
atc2002-01-21	0	43	74	76	
atc2002-01-22	0	48	75	76	
atc2002-01-23	0	46	78	78	
atc2002-01-24	0	57	74	78	
atc2002-01-25	0	41	73	76	
atc2002-01-26	0	46	67	74	
atc2002-01-27	100	72	76	76	atc2001-10-20=100
atc2002-01-28	0	59	78	78	
atc2002-01-29	0	51	74	76	
atc2002-01-30	0	47	73	76	
atc2002-01-31	0	43	76	78	
atc2002-02-01	0	31	71	76	
atc2002-02-02	0	40	75	76	
atc2002-02-03	0	45	77	78	
atc2002-02-04	0	47	76	78	
atc2002-02-05	0	55	77	78	
atc2002-02-06	0	38	72	74	
atc2002-02-07	0	50	71	74	
atc2002-02-08	0	41	74	78	
atc2002-02-09	0	32	74	74	
atc2002-02-10	0	34	76	78	
atc2002-02-11	0	43	69	74	
atc2002-02-12	0	54	77	78	
atc2002-02-13	0	43	70	74	
atc2002-02-14	0	47	72	76	
atc2002-02-15	0	41	74	76	
atc2002-02-16	0	43	73	76	
atc2002-02-17	0	36	72	74	
atc2002-02-18	0	54	77	78	
atc2002-02-19	0	40	78	78	
atc2002-02-20	0	45	75	78	
atc2002-02-21	0	27	76	80	
atc2002-02-22	0	50	77	78	
atc2002-02-23	0	37	73	78	
atc2002-02-24	0	39	70	76	
atc2002-02-25	96	75	78	78	atc1999-07-12=96
atc2002-02-26	0	63	78	78	
atc2002-02-27	0	40	71	76	
atc2002-02-28	0	50	78	78	
atc2002-03-01	0	43	77	78	
atc2002-03-02	0	34	73	74	
atc2002-03-03	0	36	72	78	
atc2002-03-04	0	56	75	78	
atc2002-03-05	0	58	75	78	
atc2002-03-06	0	43	74	78	
atc2002-03-07	0	49	76	78	
atc2002-03-08	0	43	73	76	
atc2002-03-09	0	43	71	74	
atc2002-03-10	0	44	74	78	
atc2002-03-11	0	50	78	78	
atc2002-03-12	0	41	75	76	
atc2002-03-13	0	46	75	78	
atc2002-03-14	0	40	73	74	
atc2002-03-15	0	51	76	76	
atc2002-03-16	0	36	74	76	
atc2002-03-17	0	42	77	78	
atc2002-03-18	0	60	75	78	
atc2002-03-19	30	44	75	76	nw2001-10-17=30
atc2002-03-20	0	43	73	78	
atc2002-03-21	0	51	72	76	
atc2002-03-22	0	34	76	78	
atc2002-03-23	0	41	69	74	
atc2002-03-24	0	44	76	78	
atc2002-03-25	0	52	75	78	
atc2002-03-26	0	33	78	78	
atc2002-03-27	0	46	77	78	
atc2002-03-28	0	47	78	78	
atc2002-03-29	0	45	71	76	
atc2002-03-30	0	36	68	74	
atc2002-03-31	0	47	76	78	
atc2002-04-01	0	52	73	78	
atc2002-04-02	0	43	77	78	
atc2002-04-03	0	43	74	78	
atc2002-04-04	0	43	70	76	
atc2002-04-05	0	48	75	76	
atc2002-04-06	0	41	71	76	
atc2002-04-07	0	37	72	74	
atc2002-04-08	0	55	78	78	
atc2002-04-09	0	51	78	78	
atc2002-04-10	0	46	76	78	
atc2002-04-11	0	51	75	76	
atc2002-04-12	0	48	77	78	
atc2002-04-13	0	45	77	78	
atc2002-04-14	0	54	75	78	
atc2002-04-15	0	48	78	78	
atc2002-04-16	0	49	76	78	
atc2002-04-17	0	40	77	78	
atc2002-04-18	0	46	77	78	
atc2002-04-19	0	36	69	74	
atc2002-04-20	0	46	72	78	
atc2002-04-21	0	38	70	74	
atc2002-04-22	0	54	77	78	
atc2002-04-23	0	59	78	78	
atc2002-04-24	0	54	76	78	
atc2002-04-25	0	57	75	78	
atc2002-04-26	0	36	77	78	
atc2002-04-27	0	52	74	76	
atc2002-04-28	0	47	73	76	
atc2002-04-29	0	50	74	78	
atc2002-04-30	0	44	70	76	
atc2002-05-01	0	49	75	78	
atc2002-05-02	0	44	73	78	
atc2002-05-03	0	51	75	76	
atc2002-05-04	0	49	74	78	
atc2002-05-05	0	55	76	78	
atc2002-05-06	0	48	77	78	
atc2002-05-07	0	47	76	78	
atc2002-05-08	0	40	74	76	
atc2002-05-09	0	47	75	78	
atc2002-05-10	0	43	68	76	
atc2002-05-11	0	47	75	76	
atc2002-05-12	0	35	68	76	
atc2002-05-13	0	47	77	78	
atc2002-05-14	0	44	75	78	
atc2002-05-15	0	39	74	76	
atc2002-05-16	0	37	76	76	
atc2002-05-17	0	42	74	76	
atc2002-05-18	0	41	73	76	
atc2002-05-19	0	43	72	76	
atc2002-05-20	0	50	78	78	
atc2002-05-21	0	38	73	76	
atc2002-05-22	0	45	77	78	
atc2002-05-23	0	42	74	76	
atc2002-05-24	0	48	75	78	
atc2002-05-25	0	31	70	74	
atc2002-05-26	0	52	75	78	
atc2002-05-27	0	45	75	76	
atc2002-05-28	0	42	72	76	
atc2002-05-29	0	55	76	78	
atc2002-05-30	0	50	77	78	
atc2002-05-31	0	47	76	78	
atc2002-06-01	0	41	73	76	
atc2002-06-02	0	44	76	78	
atc2002-06-03	0	53	77	78	
atc2002-06-04	0	49	77	78	
atc2002-06-05	0	44	75	76	
atc2002-06-06	0	38	77	78	
atc2002-06-07	0	38	78	78	
atc2002-06-08	0	49	77	78	
atc2002-06-09	0	37	68	74	
atc2002-06-10	0	45	73	76	
atc2002-06-11	0	49	78	78	
atc2002-06-12	0	50	74	76	
atc2002-06-13	0	49	71	76	
atc2002-06-14	0	27	73	74	
atc2002-06-15	0	49	73	74	
atc2002-06-16	0	40	70	74	
atc2002-06-17	0	50	78	78	
atc2002-06-18	0	54	76	78	
atc2002-06-19	0	42	68	72	
atc2002-06-20	0	39	76	78	
atc2002-06-21	0	24	73	76	
atc2002-06-22	0	29	69	72	
atc2002-06-23	0	52	77	78	
atc2002-06-24	75	56	78	78	usa1998-05-05=75
atc2002-06-25	0	59	75	78	
atc2002-06-26	0	38	75	76	
