xdid	similar_grid_pct	reused_clues	reused_answers	total_clues	matches
bg2015-10-18	0	64	138	144	
bg2015-10-25	0	58	135	144	
bg2015-11-01	0	67	133	140	
bg2015-11-08	0	62	130	144	
bg2015-11-15	0	87	133	144	
bg2015-11-22	0	55	135	144	
bg2015-11-29	0	68	136	142	
bg2015-12-06	0	67	135	144	
bg2015-12-13	0	71	134	140	
ch1995-01-08	0	81	134	140	
ch1995-01-15	0	91	143	144	
ch1995-01-20	0	45	74	78	
ch1995-01-21	0	50	73	76	
ch1995-01-22	0	84	133	144	
ch1995-01-23	0	36	72	74	
ch1995-01-24	0	56	75	76	
ch1995-01-25	0	56	75	76	
ch1995-01-26	0	47	73	76	
ch1995-01-27	0	41	74	74	
ch1995-01-28	0	52	77	78	
ch1995-01-30	0	50	76	80	
ch1995-01-31	0	47	77	78	
ch1995-02-01	0	53	77	78	
ch1995-02-02	0	47	71	74	
ch1995-02-03	0	54	70	76	
ch1995-02-04	0	47	73	76	
ch1995-02-05	0	80	134	140	
ch1995-02-06	0	54	76	78	
ch1995-02-07	0	59	78	78	
ch1995-02-08	0	49	77	80	
ch1995-02-09	0	52	73	76	
ch1995-02-10	0	50	75	78	
ch1995-02-11	0	43	77	78	
ch1995-02-12	0	81	137	144	
ch1995-02-13	0	55	78	78	
ch1995-02-14	0	51	76	78	
ch1995-02-15	0	41	70	72	
ch1995-02-16	0	65	79	80	
ch1995-02-17	0	55	78	78	
ch1995-02-18	0	45	69	74	
ch1995-02-19	0	94	144	150	
ch1995-02-20	0	52	78	78	
ch1995-02-21	0	51	78	78	
ch1995-02-22	0	45	72	76	
ch1995-02-23	0	48	77	80	
ch1995-02-24	0	46	75	76	
ch1995-02-25	0	55	75	78	
ch1995-02-27	0	55	73	76	
ch1995-02-28	0	38	75	78	
ch1995-03-01	0	58	76	78	
ch1995-03-02	0	47	72	74	
ch1995-03-03	0	44	66	74	
ch1995-03-04	0	45	73	76	
ch1995-03-06	0	47	71	72	
ch1995-03-07	0	49	78	78	
ch1995-03-08	0	47	75	78	
ch1995-03-09	0	37	74	76	
ch1995-03-10	0	47	75	78	
ch1995-03-11	0	50	75	78	
ch1995-03-12	0	78	135	138	
ch1995-03-13	0	53	76	78	
ch1995-03-14	0	53	76	78	
ch1995-03-15	0	47	78	78	
ch1995-03-16	0	40	73	74	
ch1995-03-17	0	47	77	78	
ch1995-03-18	0	59	75	78	
ch1995-03-19	0	70	137	142	
ch1995-03-20	0	51	78	80	
ch1995-03-21	0	56	77	78	
ch1995-03-22	0	47	76	78	
ch1995-03-23	0	54	76	78	
ch1995-03-24	0	61	78	80	
ch1995-03-25	0	44	70	72	
ch1995-03-26	0	94	138	146	
ch1995-03-27	0	48	73	74	
ch1995-03-28	0	52	78	78	
ch1995-03-29	0	49	76	78	
ch1995-03-30	0	50	74	76	
ch1995-03-31	0	51	72	76	
ch1995-04-01	0	44	73	78	
ch1995-04-02	0	88	131	140	
ch1995-04-03	0	50	78	78	
ch1995-04-04	0	51	77	78	
ch1995-04-05	0	45	75	78	
ch1995-04-06	0	46	72	74	
ch1995-04-07	0	52	74	76	
ch1995-04-08	0	52	72	74	
ch1995-04-09	0	91	140	146	
ch1995-04-10	0	51	80	80	
ch1995-04-11	0	41	71	74	
ch1995-04-12	0	46	74	74	
ch1995-04-13	0	53	78	80	
ch1995-04-14	0	53	70	74	
ch1995-04-15	0	58	76	76	
ch1995-04-16	0	80	141	144	
ch1995-04-17	0	48	78	78	
ch1995-04-18	0	47	70	72	
ch1995-04-19	0	52	75	76	
ch1995-04-20	0	61	78	78	
ch1995-04-21	0	44	75	78	
ch1995-04-22	25	59	80	80	nyt1981-02-10=25
ch1995-04-23	0	86	139	142	
ch1995-04-24	0	55	74	76	
ch1995-04-25	0	58	78	78	
ch1995-04-26	0	53	72	74	
ch1995-04-27	0	58	76	78	
ch1995-04-28	0	47	72	74	
ch1995-04-29	0	52	72	78	
ch1995-04-30	0	92	146	150	
ch1995-05-01	0	55	75	76	
ch1995-05-02	0	49	75	78	
ch1995-05-03	0	59	75	78	
ch1995-05-04	0	48	75	76	
ch1995-05-05	0	48	76	78	
ch1995-05-07	0	95	143	146	
ch1995-05-08	0	54	75	78	
ch1995-05-09	0	55	74	78	
ch1995-05-11	0	51	74	76	
ch1995-05-12	0	49	76	78	
ch1995-05-13	0	43	72	76	
ch1995-05-14	0	74	136	142	
ch1995-05-15	0	51	73	78	
ch1995-05-16	0	52	77	80	
ch1995-05-17	0	48	76	78	
ch1995-05-18	0	50	74	76	
ch1995-05-19	0	59	77	78	
ch1995-05-20	0	51	73	76	
ch1995-05-21	0	98	143	148	
ch1995-05-22	0	44	76	78	
ch1995-05-23	0	62	77	78	
ch1995-05-24	0	58	74	78	
ch1995-05-25	0	49	76	78	
ch1995-05-27	0	49	76	78	
ch1995-05-28	0	74	138	140	
ch1995-05-29	0	56	74	76	
ch1995-05-30	0	44	75	76	
ch1995-05-31	0	63	78	80	
ch1995-06-01	35	52	78	78	nyt1993-07-28=35
ch1995-06-02	0	39	71	74	
ch1995-06-03	0	55	72	78	
ch1995-06-04	0	90	132	140	
ch1995-06-11	0	89	143	146	
ch1995-06-18	0	95	139	144	
ch1995-06-25	0	91	140	146	
ch1995-07-02	0	108	142	146	
ch1995-07-09	0	99	135	142	
ch1995-07-16	0	75	134	142	
ch1995-07-23	0	76	129	138	
ch1995-07-30	0	80	135	142	
ch1995-08-06	0	95	142	148	
ch1995-08-13	0	76	135	142	
ch1995-08-20	0	88	132	140	
ch1995-08-27	0	74	137	142	
ch1995-09-03	0	83	134	140	
ch1995-09-10	0	93	141	142	
ch1995-09-17	0	103	143	148	
ch1995-09-24	0	84	134	140	
ch1995-10-01	0	81	132	142	
ch1995-10-08	0	70	136	140	
ch1995-10-15	0	85	130	142	
ch1995-10-22	0	90	135	144	
ch1995-10-29	0	105	140	146	
ch1995-11-05	0	95	144	150	
ch1995-11-12	0	95	135	144	
ch1995-11-19	0	99	141	148	
ch1995-11-26	0	84	132	138	
ch1995-12-03	0	95	138	146	
ch1995-12-10	0	76	135	142	
ch1995-12-17	0	85	135	144	
ch1995-12-24	0	84	133	138	
ch1995-12-31	0	99	138	148	
ch1996-01-07	0	82	140	144	
ch1996-01-14	0	79	134	142	
ch1996-01-21	0	97	144	148	
ch1996-01-28	0	107	147	148	
ch1996-02-04	0	80	136	142	
ch1996-02-11	0	90	143	150	
ch1996-02-18	0	95	141	146	
ch1996-02-25	0	73	132	142	
ch1996-03-10	0	83	139	146	
ch1996-03-17	0	78	129	140	
ch1996-03-18	0	43	76	78	
ch1996-03-19	0	56	74	76	
ch1996-03-20	0	47	78	78	
ch1996-03-21	0	52	75	78	
ch1996-03-22	0	46	70	74	
ch1996-03-23	57	61	78	80	nyt1988-03-02=30 nyt1993-03-11=27
ch1996-03-24	0	91	142	148	
ch1996-03-25	0	54	76	78	
ch1996-03-26	0	47	75	76	
ch1996-03-27	0	50	77	78	
ch1996-03-28	0	39	75	78	
ch1996-03-29	0	42	73	74	
ch1996-03-30	0	54	75	78	
ch1996-03-31	0	86	139	146	
ch1996-04-01	0	53	73	76	
ch1996-04-02	0	52	74	78	
ch1996-04-03	0	34	69	70	
ch1996-04-04	0	60	73	76	
ch1996-04-05	0	54	73	76	
ch1996-04-06	0	54	74	78	
ch1996-04-07	0	92	134	140	
ch1996-04-08	0	49	74	74	
ch1996-04-09	0	54	77	78	
ch1996-04-10	0	58	76	76	
ch1996-04-11	0	62	75	78	
ch1996-04-12	0	52	77	78	
ch1996-04-13	0	48	71	76	
ch1996-04-14	0	110	141	146	
ch1996-04-15	0	48	77	78	
ch1996-04-16	0	50	75	78	
ch1996-04-17	0	63	78	78	
ch1996-04-18	0	39	73	76	
ch1996-04-19	0	51	75	78	
ch1996-04-20	0	39	74	76	
ch1996-04-21	0	93	142	146	
ch1996-04-22	0	48	75	76	
ch1996-04-23	0	45	78	78	
ch1996-04-24	0	51	76	78	
ch1996-04-25	0	62	76	76	
ch1996-04-26	0	38	69	74	
ch1996-04-27	0	56	75	78	
ch1996-04-28	0	70	142	144	
ch1996-04-29	0	53	77	78	
ch1996-04-30	0	53	77	78	
ch1996-05-01	0	57	74	76	
ch1996-05-02	0	61	78	78	
ch1996-05-03	0	49	78	78	
ch1996-05-04	0	56	77	78	
ch1996-05-05	0	74	135	144	
ch1996-05-06	0	53	76	78	
ch1996-05-07	0	58	78	78	
ch1996-05-08	0	46	76	76	
ch1996-05-09	0	48	73	76	
ch1996-05-10	0	56	74	76	
ch1996-05-11	0	53	73	76	
ch1996-05-12	0	82	136	142	
ch1996-05-13	0	48	76	78	
ch1996-05-14	0	52	76	78	
ch1996-05-15	0	51	77	78	
ch1996-05-16	0	55	75	76	
ch1996-05-17	0	45	77	78	
ch1996-05-18	0	62	73	78	
ch1996-05-19	0	98	143	150	
ch1996-05-20	0	54	77	78	
ch1996-05-21	0	58	73	76	
ch1996-05-22	0	55	75	78	
ch1996-05-23	0	47	77	78	
ch1996-05-24	0	35	72	74	
ch1996-05-25	0	41	70	74	
ch1996-05-26	0	103	145	152	
ch1996-05-27	0	45	74	74	
ch1996-05-28	0	50	77	78	
ch1996-05-29	0	53	77	78	
ch1996-05-30	0	54	78	80	
ch1996-05-31	0	44	74	76	
ch1996-06-01	0	46	69	76	
ch1996-06-02	0	64	125	134	
ch1996-06-03	0	39	73	76	
ch1996-06-04	0	49	75	78	
ch1996-06-05	0	48	75	76	
ch1996-06-06	0	53	78	78	
ch1996-06-07	0	50	74	78	
ch1996-06-08	0	61	77	78	
ch1996-06-09	0	90	140	150	
ch1996-06-10	0	53	75	78	
ch1996-06-11	0	52	73	76	
ch1996-06-12	0	45	71	72	
ch1996-06-13	0	45	77	78	
ch1996-06-14	0	56	76	78	
ch1996-06-15	0	47	76	78	
ch1996-06-16	0	84	144	146	
ch1996-06-17	0	48	77	80	
ch1996-06-18	0	43	76	78	
ch1996-06-19	0	59	77	78	
ch1996-06-20	0	33	68	68	
ch1996-06-21	0	40	72	74	
ch1996-06-22	0	44	70	74	
ch1996-06-23	0	98	139	148	
ch1996-06-24	0	47	76	78	
ch1996-06-25	0	56	77	78	
ch1996-06-26	0	51	75	76	
ch1996-06-27	0	54	73	76	
ch1996-06-28	0	55	74	76	
ch1996-06-29	0	47	71	78	
ch1996-06-30	0	99	146	146	
ch1996-07-01	0	49	78	78	
ch1996-07-02	0	53	76	78	
ch1996-07-03	0	53	73	76	
ch1996-07-04	0	63	74	78	
ch1996-07-05	0	52	72	76	
ch1996-07-06	0	36	71	74	
ch1996-07-07	0	100	140	144	
ch1996-07-08	0	52	78	80	
ch1996-07-09	0	55	74	78	
ch1996-07-10	0	57	78	78	
ch1996-07-11	0	49	73	76	
ch1996-07-12	0	51	76	78	
ch1996-07-13	0	52	75	78	
ch1996-07-15	0	54	76	78	
ch1996-07-16	0	52	77	78	
ch1996-07-17	0	59	78	78	
ch1996-07-18	0	44	77	78	
ch1996-07-19	0	37	73	76	
ch1996-07-20	0	48	75	76	
ch1996-07-22	0	58	74	76	
ch1996-07-23	0	32	76	78	
ch1996-07-24	0	51	76	78	
ch1996-07-25	0	49	74	76	
ch1996-07-26	0	42	73	76	
ch1996-07-27	0	44	70	74	
ch1996-07-28	0	72	131	140	
ch1996-07-29	0	42	77	78	
ch1996-07-30	0	61	76	78	
ch1996-07-31	0	50	78	78	
ch1996-08-01	0	40	73	74	
ch1996-08-02	0	60	77	78	
ch1996-08-03	0	48	74	78	
ch1996-08-04	0	85	142	146	
ch1996-08-05	0	46	73	76	
ch1996-08-06	0	47	72	76	
ch1996-08-07	0	59	73	76	
ch1996-08-08	0	58	75	76	
ch1996-08-09	0	47	70	76	
ch1996-08-10	0	54	73	78	
ch1996-08-11	0	76	139	142	
ch1996-08-12	0	45	75	76	
ch1996-08-13	0	60	79	80	
ch1996-08-14	0	43	75	76	
ch1996-08-15	0	53	76	78	
ch1996-08-16	0	46	78	78	
ch1996-08-17	0	49	72	74	
ch1996-08-18	0	94	138	144	
ch1996-08-19	0	50	77	78	
ch1996-08-20	0	54	78	78	
ch1996-08-21	0	55	76	76	
ch1996-08-22	0	47	77	78	
ch1996-08-23	0	47	78	78	
ch1996-08-24	0	41	67	70	
ch1996-08-25	0	87	134	140	
ch1996-08-26	0	56	78	78	
ch1996-08-27	0	39	69	72	
ch1996-08-28	0	54	77	78	
ch1996-08-29	0	42	77	78	
ch1996-08-30	0	60	77	78	
ch1996-08-31	0	49	75	78	
ch1996-09-01	0	89	139	144	
ch1996-09-02	0	33	74	74	
ch1996-09-03	0	52	76	76	
ch1996-09-04	0	45	76	78	
ch1996-09-05	0	46	77	78	
ch1996-09-06	0	46	77	78	
ch1996-09-07	0	45	71	78	
ch1996-09-08	0	79	144	148	
ch1996-09-09	0	59	79	80	
ch1996-09-10	0	46	76	78	
ch1996-09-11	0	54	77	78	
ch1996-09-12	49	56	72	74	usa1995-09-07=49
ch1996-09-13	0	37	75	78	
ch1996-09-14	0	48	75	78	
ch1996-09-15	0	106	141	144	
ch1996-09-16	0	59	78	78	
ch1996-09-17	0	41	71	72	
ch1996-09-18	0	45	76	78	
ch1996-09-19	0	40	68	72	
ch1996-09-20	0	51	71	76	
ch1996-09-21	0	50	72	76	
ch1996-09-22	0	99	140	146	
ch1996-09-23	0	40	75	76	
ch1996-09-24	0	52	75	78	
ch1996-09-25	0	48	77	78	
ch1996-09-26	0	53	73	76	
ch1996-09-27	0	59	75	78	
ch1996-09-28	0	61	73	76	
ch1996-09-29	0	82	144	146	
ch1996-09-30	0	47	76	78	
ch1996-10-01	92	44	74	74	nyt1990-04-25=92
ch1996-10-02	0	47	74	76	
ch1996-10-03	0	54	77	78	
ch1996-10-04	0	52	77	78	
ch1996-10-05	0	43	69	74	
ch1996-10-07	0	57	78	78	
ch1996-10-08	0	51	76	78	
ch1996-10-09	0	56	77	78	
ch1996-10-10	0	51	78	78	
ch1996-10-11	0	56	77	78	
ch1996-10-12	0	54	72	78	
ch1996-10-13	0	74	137	140	
ch1996-10-14	0	43	74	76	
ch1996-10-15	0	52	76	78	
ch1996-10-16	0	62	78	78	
ch1996-10-17	0	60	76	76	
ch1996-10-18	0	53	74	78	
ch1996-10-19	0	41	70	76	
ch1996-10-20	0	94	127	140	
ch1996-10-21	0	53	77	78	
ch1996-10-22	0	52	72	76	
ch1996-10-23	0	45	74	78	
ch1996-10-24	0	57	77	78	
ch1996-10-25	0	44	70	76	
ch1996-10-26	0	54	75	78	
ch1996-10-27	0	76	136	140	
ch1996-10-28	0	50	74	76	
ch1996-10-29	0	58	77	78	
ch1996-10-30	0	48	79	80	
ch1996-11-01	0	57	77	78	
ch1996-11-02	0	40	71	74	
ch1996-11-03	0	76	136	142	
ch1996-11-04	0	53	74	76	
ch1996-11-05	0	45	75	78	
ch1996-11-06	0	57	76	78	
ch1996-11-07	0	51	73	76	
ch1996-11-08	0	50	77	78	
ch1996-11-09	0	49	78	78	
ch1996-11-10	0	85	138	142	
ch1996-11-11	0	44	70	74	
ch1996-11-12	0	49	77	78	
ch1996-11-13	0	48	75	76	
ch1996-11-14	0	58	76	78	
ch1996-11-15	0	48	75	78	
ch1996-11-16	0	45	72	76	
ch1996-11-17	0	69	131	140	
ch1996-11-18	0	53	77	78	
ch1996-11-19	0	37	71	72	
ch1996-11-20	0	50	78	78	
ch1996-11-21	0	43	71	74	
ch1996-11-22	0	34	74	74	
ch1996-11-23	0	42	77	78	
ch1996-11-24	0	86	134	140	
ch1996-11-25	0	62	78	78	
ch1996-11-26	0	54	78	78	
ch1996-11-27	0	49	76	78	
ch1996-11-28	0	54	75	78	
ch1996-11-29	0	49	74	76	
ch1996-11-30	0	43	71	74	
ch1996-12-01	0	98	148	148	
ch1996-12-02	0	55	73	76	
ch1996-12-03	0	36	69	72	
ch1996-12-04	0	54	76	76	
ch1996-12-05	74	50	78	78	ch1996-04-23=74
ch1996-12-06	0	39	74	76	
ch1996-12-07	0	43	70	74	
ch1996-12-08	0	85	135	146	
ch1996-12-09	0	52	72	74	
ch1996-12-10	0	47	72	78	
ch1996-12-11	0	51	78	78	
ch1996-12-12	0	50	78	78	
ch1996-12-13	0	48	74	78	
ch1996-12-14	0	53	71	74	
ch1996-12-15	0	99	144	148	
ch1996-12-16	0	51	78	80	
ch1996-12-17	0	62	78	78	
ch1996-12-18	0	46	76	76	
ch1996-12-19	0	42	71	74	
ch1996-12-20	0	38	71	76	
ch1996-12-21	0	60	73	76	
ch1996-12-22	0	85	129	142	
ch1996-12-23	0	78	76	78	
ch1996-12-24	0	55	78	78	
ch1996-12-25	0	53	74	76	
ch1996-12-26	0	60	75	76	
ch1996-12-27	0	40	65	72	
ch1996-12-28	0	62	75	78	
ch1996-12-29	100	144	144	144	ch1996-01-07=100
ch1996-12-30	0	62	78	78	
ch1996-12-31	0	45	72	74	
ch1997-01-01	0	58	73	76	
ch1997-01-02	0	58	72	76	
ch1997-01-03	0	46	75	78	
ch1997-01-04	0	45	75	78	
ch1997-01-05	0	96	134	142	
ch1997-01-06	0	53	75	78	
ch1997-01-07	0	57	75	78	
ch1997-01-08	0	48	74	78	
ch1997-01-09	0	56	75	78	
ch1997-01-10	0	52	74	76	
ch1997-01-11	100	76	76	76	ch1997-01-10=100
ch1997-01-12	0	79	135	146	
ch1997-01-13	0	30	56	60	
ch1997-01-14	0	49	76	78	
ch1997-01-15	0	52	77	78	
ch1997-01-16	0	46	73	74	
ch1997-01-17	0	50	72	74	
ch1997-01-18	0	48	73	76	
ch1997-01-19	0	83	144	146	
ch1997-01-20	0	58	78	80	
ch1997-01-21	0	48	77	78	
ch1997-01-22	0	61	77	78	
ch1997-01-23	0	55	75	76	
ch1997-01-24	0	47	75	78	
ch1997-01-25	0	59	75	78	
ch1997-01-26	0	84	140	144	
ch1997-01-27	0	46	73	74	
ch1997-01-28	0	64	75	78	
ch1997-01-29	0	57	78	78	
ch1997-01-30	0	55	78	78	
ch1997-02-01	0	50	74	76	
ch1997-02-02	0	107	144	146	
ch1997-02-03	0	67	76	78	
ch1997-02-04	0	45	75	76	
ch1997-02-05	0	59	77	78	
ch1997-02-06	0	54	77	78	
ch1997-02-07	0	53	73	76	
ch1997-02-08	0	48	74	78	
ch1997-02-09	0	102	144	146	
ch1997-02-10	0	55	75	76	
ch1997-02-11	0	30	72	74	
ch1997-02-12	0	45	68	68	
ch1997-02-13	0	54	76	78	
ch1997-02-14	0	44	74	76	
ch1997-02-15	0	47	75	76	
ch1997-02-16	0	108	136	142	
ch1997-02-17	0	48	74	78	
ch1997-02-18	0	57	74	76	
ch1997-02-19	0	57	78	78	
ch1997-02-20	0	41	75	78	
ch1997-02-21	0	51	75	78	
ch1997-02-22	0	59	75	78	
ch1997-02-23	0	89	138	144	
ch1997-02-24	0	40	71	72	
ch1997-02-25	0	36	77	78	
ch1997-02-26	0	60	75	78	
ch1997-02-27	0	58	76	78	
ch1997-02-28	0	46	74	76	
ch1997-03-01	0	57	76	78	
ch1997-03-02	0	93	138	144	
ch1997-03-03	0	41	76	78	
ch1997-03-04	0	42	71	72	
ch1997-03-05	0	55	75	78	
ch1997-03-06	0	51	74	78	
ch1997-03-07	0	52	76	78	
ch1997-03-08	0	45	76	78	
ch1997-03-09	0	68	137	144	
ch1997-03-10	0	60	80	80	
ch1997-03-11	0	50	75	76	
ch1997-03-12	0	56	75	76	
ch1997-03-13	0	58	78	78	
ch1997-03-14	0	49	74	78	
ch1997-03-15	0	51	72	72	
ch1997-03-16	0	79	131	134	
ch1997-03-17	0	60	77	78	
ch1997-03-18	26	46	73	76	nyt1976-10-29=26
ch1997-03-19	0	37	71	74	
ch1997-03-20	0	41	71	74	
ch1997-03-21	0	50	74	78	
ch1997-03-22	0	57	74	80	
ch1997-03-23	0	90	129	138	
ch1997-03-24	0	48	78	78	
ch1997-03-25	0	54	77	78	
ch1997-03-26	0	61	79	80	
ch1997-03-27	0	53	75	78	
ch1997-03-28	0	48	77	78	
ch1997-03-29	0	57	76	78	
ch1997-03-30	0	103	145	150	
ch1997-03-31	0	55	78	80	
ch1997-04-01	0	54	74	78	
ch1997-04-02	0	49	77	78	
ch1997-04-03	0	57	73	76	
ch1997-04-04	0	51	74	76	
ch1997-04-05	0	78	73	78	
ch1997-04-06	0	100	135	140	
ch1997-04-07	0	53	75	78	
ch1997-04-09	25	47	77	78	nyt1993-04-28=25
ch1997-04-10	0	32	69	72	
ch1997-04-11	0	46	80	80	
ch1997-04-12	0	61	76	78	
ch1997-04-13	0	90	138	146	
ch1997-04-14	0	51	80	80	
ch1997-04-16	0	55	76	78	
ch1997-04-17	0	50	77	78	
ch1997-04-18	0	55	73	76	
ch1997-04-19	0	44	69	72	
ch1997-04-20	0	79	140	144	
ch1997-04-21	0	51	74	76	
ch1997-04-22	0	52	77	78	
ch1997-04-23	0	51	74	76	
ch1997-04-24	0	59	74	78	
ch1997-04-25	0	66	74	78	
ch1997-04-26	0	39	69	74	
ch1997-04-27	0	86	138	150	
ch1997-04-28	0	53	75	76	
ch1997-04-29	0	37	74	76	
ch1997-04-30	0	46	72	74	
ch1997-05-01	0	54	74	78	
ch1997-05-02	0	62	76	80	
ch1997-05-03	0	34	67	72	
ch1997-05-04	0	88	142	146	
ch1997-05-05	0	45	74	76	
ch1997-05-06	0	59	75	76	
ch1997-05-07	0	53	74	76	
ch1997-05-08	0	42	68	72	
ch1997-05-09	0	54	74	78	
ch1997-05-10	0	51	78	78	
ch1997-05-11	0	95	145	150	
ch1997-05-12	0	51	76	78	
ch1997-05-13	0	56	78	78	
ch1997-05-14	0	59	77	78	
ch1997-05-15	0	52	75	76	
ch1997-05-16	0	48	77	78	
ch1997-05-17	0	58	74	78	
ch1997-05-19	0	55	74	76	
ch1997-05-20	0	59	77	78	
ch1997-05-21	0	43	73	78	
ch1997-05-22	0	44	72	74	
ch1997-05-23	0	60	76	78	
ch1997-05-24	0	40	72	74	
ch1997-05-25	0	97	146	148	
ch1997-05-26	0	51	77	78	
ch1997-05-27	0	54	71	76	
ch1997-05-28	0	51	76	76	
ch1997-05-29	0	40	72	74	
ch1997-05-30	0	58	74	78	
ch1997-05-31	0	50	68	74	
ch1997-06-01	0	89	146	148	
ch1997-06-02	0	53	75	76	
ch1997-06-03	0	53	77	78	
ch1997-06-04	0	58	77	78	
ch1997-06-05	0	50	69	70	
ch1997-06-06	0	43	70	76	
ch1997-06-07	0	47	73	76	
ch1997-06-08	0	79	129	138	
ch1997-06-09	0	58	74	76	
ch1997-06-10	0	52	76	76	
ch1997-06-11	0	53	75	76	
ch1997-06-12	0	51	73	74	
ch1997-06-13	0	59	76	76	
ch1997-06-14	0	59	77	80	
ch1997-06-15	0	87	129	134	
ch1997-06-16	0	54	73	76	
ch1997-06-17	0	57	76	78	
ch1997-06-18	0	47	75	78	
ch1997-06-19	0	50	70	74	
ch1997-06-20	0	47	77	78	
ch1997-06-21	0	50	74	78	
ch1997-06-22	0	79	127	140	
ch1997-06-23	0	42	78	78	
ch1997-06-24	0	52	76	78	
ch1997-06-25	0	47	74	78	
ch1997-06-26	0	51	74	74	
ch1997-06-27	0	48	75	76	
ch1997-06-28	0	46	69	74	
ch1997-06-30	0	40	77	78	
ch1997-07-01	0	59	79	80	
ch1997-07-02	0	63	77	78	
ch1997-07-03	0	62	76	76	
ch1997-07-04	0	46	73	76	
ch1997-07-05	0	50	69	76	
ch1997-07-06	0	93	133	140	
ch1997-07-07	0	47	77	80	
ch1997-07-08	0	54	77	78	
ch1997-07-09	0	47	74	76	
ch1997-07-10	0	52	76	78	
ch1997-07-11	0	43	75	78	
ch1997-07-12	0	54	72	76	
ch1997-07-14	0	59	78	78	
ch1997-07-15	0	58	78	78	
ch1997-07-16	0	45	69	74	
ch1997-07-17	0	56	78	80	
ch1997-07-18	0	58	75	76	
ch1997-07-20	0	109	140	146	
ch1997-07-27	0	74	137	144	
ch1997-07-28	0	53	78	78	
ch1997-07-29	0	58	77	78	
ch1997-07-30	0	40	76	78	
ch1997-08-01	0	39	72	74	
ch1997-08-03	0	95	143	148	
ch1997-08-10	0	83	140	146	
ch1997-08-17	0	99	143	150	
ch1997-08-24	0	90	135	140	
ch1997-08-31	0	95	134	144	
ch1997-09-07	0	73	133	142	
ch1997-09-14	0	96	144	148	
ch1997-09-28	0	73	139	144	
ch1997-10-05	0	101	141	144	
ch1997-10-12	0	120	144	148	
ch1997-10-19	0	81	132	146	
ch1997-10-26	0	112	143	148	
ch1997-11-02	0	107	142	146	
ch1997-11-09	0	93	130	138	
ch1997-11-16	0	99	133	144	
ch1997-11-24	0	36	72	76	
ch1997-11-25	0	26	68	74	
ch1997-11-26	0	28	72	76	
ch1997-11-27	0	38	71	78	
ch1997-11-28	0	31	71	76	
ch1997-12-15	0	30	73	78	
ch1997-12-16	0	35	69	78	
ch1997-12-17	0	34	74	78	
ch1997-12-18	0	30	69	72	
ch1997-12-19	0	35	73	78	
ch1997-12-20	0	27	67	70	
ch1997-12-22	0	37	76	78	
ch1997-12-23	0	33	74	78	
ch1997-12-24	0	43	78	78	
ch1997-12-25	0	35	70	76	
ch1997-12-26	0	40	72	78	
ch1997-12-27	0	28	65	70	
ch1997-12-29	0	48	77	78	
ch1998-01-04	0	73	133	142	
ch1998-01-05	0	48	77	80	
ch1998-01-06	0	31	69	74	
ch1998-01-07	0	37	76	78	
ch1998-01-08	0	44	74	76	
ch1998-01-09	0	41	72	76	
ch1998-01-10	0	26	67	72	
ch1998-01-11	0	62	136	142	
ch1998-01-12	0	36	77	78	
ch1998-01-13	0	35	71	76	
ch1998-01-14	0	40	73	74	
ch1998-01-15	0	39	70	74	
ch1998-01-16	0	39	72	78	
ch1998-01-18	0	74	139	142	
ch1998-01-24	0	31	64	74	
ch1998-01-25	0	63	139	142	
ch1998-01-26	0	32	69	74	
ch1998-01-27	0	37	68	74	
ch1998-01-28	0	42	75	78	
ch1998-01-29	0	38	71	74	
ch1998-01-30	0	26	54	76	
ch1998-01-31	0	22	64	68	
ch1998-02-01	0	74	136	142	
ch1998-02-02	0	43	75	78	
ch1998-02-03	0	41	78	78	
ch1998-02-04	0	39	76	78	
ch1998-02-05	0	42	73	78	
ch1998-02-06	0	43	75	76	
ch1998-02-08	0	87	141	148	
ch1998-02-14	0	35	68	72	
ch1998-02-15	0	60	127	138	
ch1998-02-16	0	45	74	76	
ch1998-02-17	0	44	78	78	
ch1998-02-18	0	47	74	78	
ch1998-02-19	0	44	74	78	
ch1998-02-20	0	45	74	78	
ch1998-02-22	0	72	135	140	
ch1998-02-28	0	41	74	78	
ch1998-03-02	0	45	74	78	
ch1998-03-03	0	42	75	76	
ch1998-03-04	0	37	76	76	
ch1998-03-05	0	54	78	78	
ch1998-03-06	0	38	73	78	
ch1998-03-07	0	40	74	76	
ch1998-03-09	0	41	76	78	
ch1998-03-10	0	45	74	78	
ch1998-03-11	0	43	73	74	
ch1998-03-12	0	46	74	78	
ch1998-03-13	0	37	69	74	
ch1998-03-14	0	41	76	76	
ch1998-03-16	0	50	75	78	
ch1998-03-17	0	45	74	76	
ch1998-03-18	0	50	76	78	
ch1998-03-19	0	44	72	76	
ch1998-03-20	0	50	75	78	
ch1998-03-21	0	44	70	74	
ch1998-03-23	0	49	76	78	
ch1998-03-25	0	42	74	76	
ch1998-03-26	0	48	75	78	
ch1998-03-27	0	38	70	74	
ch1998-03-28	0	32	65	70	
ch1998-03-30	0	45	74	76	
ch1998-03-31	0	45	74	78	
ch1998-04-01	0	46	74	78	
ch1998-04-02	0	42	76	76	
ch1998-04-03	0	38	66	74	
ch1998-04-04	0	35	66	74	
ch1998-04-05	0	68	132	142	
ch1998-04-06	0	44	76	78	
ch1998-04-07	0	43	77	78	
ch1998-04-08	0	34	68	74	
